user_type,code,type,name,parent_id,note,reconcile,active
Regular,13995001,regular,"retención sobre contratos",139950,,FALSE,TRUE
Regular,13995501,regular,reclamaciones,139955,,FALSE,TRUE
Regular,13996001,regular,"cuentas por cobrar a trabajadores",139960,,FALSE,TRUE
Regular,13996501,regular,"préstamos a particulares",139965,,FALSE,TRUE
Regular,13997501,regular,"deudores varios",139975,,FALSE,TRUE
Regular,13998001,regular,"derechos de recompra de cartera negociada",139980,,FALSE,TRUE
Regular,14059901,regular,"ajustes por inflación",140599,,FALSE,TRUE
Regular,14109901,regular,"ajustes por inflación",141099,,FALSE,TRUE
Regular,14159901,regular,"ajustes por inflación",141599,,FALSE,TRUE
Regular,14179901,regular,"ajustes por inflación",141799,,FALSE,TRUE
Regular,14209901,regular,"ajustes por inflación",142099,,FALSE,TRUE
Regular,14259901,regular,"ajustes por inflación",142599,,FALSE,TRUE
Regular,14289901,regular,"ajustes por inflación",142899,,FALSE,TRUE
Regular,14300501,regular,"productos manufacturados",143005,,FALSE,TRUE
Regular,14301001,regular,"productos extraídos y/o procesados",143010,,FALSE,TRUE
Regular,14301501,regular,"productos agrícolas y forestales",143015,,FALSE,TRUE
Regular,14302001,regular,subproductos,143020,,FALSE,TRUE
Regular,14302501,regular,"productos de pesca",143025,,FALSE,TRUE
Regular,14309901,regular,"ajustes por inflación",143099,,FALSE,TRUE
Regular,14359901,regular,"ajustes por inflación",143599,,FALSE,TRUE
Regular,14409901,regular,"ajustes por inflación",144099,,FALSE,TRUE
Regular,14459901,regular,"ajustes por inflación",144599,,FALSE,TRUE
Regular,14500501,regular,"por urbanizar",145005,,FALSE,TRUE
Regular,14501001,regular,"urbanizados por construir",145010,,FALSE,TRUE
Regular,14509901,regular,"ajustes por inflación",145099,,FALSE,TRUE
Regular,14559901,regular,"ajustes por inflación",145599,,FALSE,TRUE
Regular,14609901,regular,"ajustes por inflación",146099,,FALSE,TRUE
Regular,14659901,regular,"ajustes por inflación",146599,,FALSE,TRUE
Regular,14990501,regular,"para obsolescencia",149905,,FALSE,TRUE
Regular,14991001,regular,"para diferencia de inventario físico",149910,,FALSE,TRUE
Regular,14991501,regular,"para pérdidas de inventarios",149915,,FALSE,TRUE
Regular,14992001,regular,lifo,149920,,FALSE,TRUE
Regular,15040501,regular,urbanos,150405,,FALSE,TRUE
Regular,15041001,regular,rurales,150410,,FALSE,TRUE
Regular,15049901,regular,"ajustes por inflación",150499,,FALSE,TRUE
Regular,15060501,regular,"tuberías y equipo",150605,,FALSE,TRUE
Regular,15061001,regular,"costos de importación materiales",150610,,FALSE,TRUE
Regular,15061501,regular,"proyectos de construcción",150615,,FALSE,TRUE
Regular,15069901,regular,"ajustes por inflación",150699,,FALSE,TRUE
Regular,15080501,regular,"construcciones y edificaciones",150805,,FALSE,TRUE
Regular,15081001,regular,"acueductos, plantas y redes",150810,,FALSE,TRUE
Regular,15081501,regular,"vías de comunicación",150815,,FALSE,TRUE
Regular,15082001,regular,"pozos artesianos",150820,,FALSE,TRUE
Regular,15082501,regular,"proyectos de exploración",150825,,FALSE,TRUE
Regular,15083001,regular,"proyectos de desarrollo",150830,,FALSE,TRUE
Regular,15089901,regular,"ajustes por inflación",150899,,FALSE,TRUE
Regular,15120501,regular,"maquinaria y equipo",151205,,FALSE,TRUE
Regular,15121001,regular,"equipo de oficina",151210,,FALSE,TRUE
Regular,15121501,regular,"equipo de computación y comunicación",151215,,FALSE,TRUE
Regular,15122001,regular,"equipo médico-científico",151220,,FALSE,TRUE
Regular,15122501,regular,"equipo de hoteles y restaurantes",151225,,FALSE,TRUE
Regular,15123001,regular,"flota y equipo de transporte",151230,,FALSE,TRUE
Regular,15123501,regular,"flota y equipo fluvial y/o marítimo",151235,,FALSE,TRUE
Regular,15124001,regular,"flota y equipo aéreo",151240,,FALSE,TRUE
Regular,15124501,regular,"flota y equipo férreo",151245,,FALSE,TRUE
